,Marka_Model_0,Marka_Model_1,Marka_Model_2,Marka_Model_3,Marka_Model_4,Marka_Model_5,Marka_Model_6,Marka_Model_7,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Konfor Group,Tsi(Turbo Supercharger Injection),Yakit,Max_Güc,Garanti,Aktarma,Renk_Açık Gri,Renk_Açık Kırmızı,Renk_Açık Mavi,Renk_Açık Sarı,Renk_Bakır,Renk_Bej,Renk_Beyaz,Renk_Beyaz Siyah,Renk_Bronz,Renk_Fildişi,Renk_Gri,Renk_Gri Siyah,Renk_Gümüş,Renk_Kahverengi,Renk_Koyu Gri,Renk_Koyu Kırmızı,Renk_Koyu Mor,Renk_Koyu Turuncu,Renk_Kırmızı,Renk_Kırmızı Beyaz,Renk_Kırmızı Siyah,Renk_Lacivert,Renk_Mavi,Renk_Mavi Beyaz,Renk_Mavi Siyah,Renk_Metalik Beyaz,Renk_Metalik Gri,Renk_Metalik Kırmızı,Renk_Metalik Mavi,Renk_Metalik Siyah,Renk_Metalik Yeşil,Renk_Sarı,Renk_Sarı Siyah,Renk_Siyah,Renk_Turuncu,Renk_Yeşil,Kasa_Tipi_Arazi aracı,Kasa_Tipi_Cabriolet,Kasa_Tipi_Cityvan,Kasa_Tipi_Coupe,Kasa_Tipi_Hatchback,Kasa_Tipi_MPV,Kasa_Tipi_Minibüs,Kasa_Tipi_Pick-up,Kasa_Tipi_Sedan,Kasa_Tipi_Wagon,Sanziman,Model_Yili,Konum_Akdeniz Bölgesi,Konum_Ege Bölgesi,Konum_GüneyDoğu Anadolu Bölgesi,Konum_Karadeniz Bölgesi,Konum_Marmara Bölgesi,Konum_İç Anadolu Bölgesi,Fiyat
384,0,1,0,0,1,1,0,1,175.0,136.0,4.0,42.0,6.199999809265137,16.0,4,10,1.5,3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,1,600000
385,0,0,1,0,1,0,0,0,195.0,185.0,4.0,50.0,7.099999904632568,16.0,7,16,1.2,3,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,630000
386,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,7,15,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,635000
387,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,8,18,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,653000
388,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,8,18,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,653000
389,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,7,17,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0,0,0,705000
390,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,7,16,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,725900
391,0,0,1,0,1,0,0,0,180.0,250.0,4.0,43.0,3.299999952316284,16.0,7,18,1.8,3,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,740000
392,0,1,0,0,1,1,1,0,170.0,250.0,4.0,43.0,3.200000047683716,16.0,10,19,1.8,3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,795500
393,0,0,0,0,0,0,1,1,198.0,200.0,3.0,50.0,5.699999809265137,12.0,4,13,1.0,3,115,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,1,0,527900
394,0,0,0,0,0,0,0,1,187.0,175.0,3.0,40.0,5.300000190734863,12.0,7,11,1.0,3,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,1,0,0,0,0,545000
395,0,0,0,0,0,0,0,1,187.0,175.0,3.0,40.0,5.300000190734863,12.0,7,11,1.0,3,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,1,552000
