web-scraper-order,web-scraper-start-url,linkgetter,linkgetter-href,MarkaAdi,Modeladi,Renk,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Model_Yili,Kasa_Tipi,Konfor Group,Rehin_Durum,Haciz_Durum,Tsi(Turbo Supercharger Injection),Yakit,Sanziman,Max_Güc,Garanti,Aktarma,Konum_detay,Konum_sehir,Fiyat
"1669745592-912","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223431815","Volkswagen","Polo","Saf Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","Garantisiz","Önden Çekiş","Doğuş Oto Kartal","İstanbul","495.000₺"
"1669745601-913","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223432521","Volkswagen","Polo","Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","Garantisiz","Önden Çekiş","Erya","İstanbul","499.900₺"
"1669745617-914","https://dod.com.tr/arac-arama?page=81","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/221600182","Volkswagen","Polo","Beyaz","187 Km/h","175","3","40","5.8","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı - SFSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK6 Hoparlör - 6HAlüminyum Alaşım Jant - AJCD Çalar - CD Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1 Lt","Benzin","Otomatik","95 Hp","Garantisiz","Önden Çekiş","Doğuş Oto Bursa","Bursa","502.000₺"
"1669745626-915","https://dod.com.tr/arac-arama?page=81","Volkswagen Golf","https://dod.com.tr/arac-detay/Volkswagen/Golf/223428575","Volkswagen","Golf","Beyaz","198 Km/h","250","4","50","4.1","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Lastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK8 Hoparlör - 8HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Radyo Cd - RCSpor Koltuklar - SK Torpido Gözü Soğutması - TGSYol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","115 Hp","Garantisiz","Önden Çekiş","Doğuş Oto Kartal","İstanbul","502.000₺"
"1669745634-916","https://dod.com.tr/arac-arama?page=81","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223500890","Volkswagen","Polo","Beyaz","187 Km/h","175","3","40","5.8","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1 Lt","Benzin","Otomatik","95 Hp","3 Aylık DOD Garanti","Önden Çekiş","Vosmer Bornova","İzmir","520.000₺"
"1669745643-917","https://dod.com.tr/arac-arama?page=81","Volkswagen Golf","https://dod.com.tr/arac-detay/Volkswagen/Golf/223432520","Volkswagen","Golf","Siyah","196 Km/h","200","3","50","5.7","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Lastik Basınç Sensörleri - LBSÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları8 Hoparlör - 8HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RCTorpido Gözü Soğutması - TGSYol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1 Lt","Benzin","Otomatik","110 Hp","Garantisiz","Önden Çekiş","Erya","İstanbul","529.900₺"
"1669745651-918","https://dod.com.tr/arac-arama?page=81","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223431816","Volkswagen","Polo","Saf Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","Garantisiz","Önden Çekiş","Doğuş Oto Kartal","İstanbul","530.000₺"
"1669745659-919","https://dod.com.tr/arac-arama?page=81","Volkswagen Golf","https://dod.com.tr/arac-detay/Volkswagen/Golf/224200474","Volkswagen","Golf","Beyaz","198 Km/h","250","4","50","4.1","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Lastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK8 Hoparlör - 8HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Radyo Cd - RCSpor Koltuklar - SK Torpido Gözü Soğutması - TGSYol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","115 Hp","Garantisiz","Önden Çekiş","Gökmen","Konya","555.000₺"
"1669745668-920","https://dod.com.tr/arac-arama?page=81","Volkswagen Golf","https://dod.com.tr/arac-detay/Volkswagen/Golf/222700040","Volkswagen","Golf","Tungsten Gri","198 Km/h","250","4","50","4.1","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park Ikazi - PS Elekt. Çekiş Kontrol Sistemi -Elektronik Fren Basinç DagilimElektronik Stabilite Programı Fren Asistanı-BAS Lastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı-SFÖn ve Arka Tavan Hava YastıklaÖn Yan hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK8 Hoparlör-8HAlüminyum Alaşım Jant -AJArka Kol Dayama - KDÇok fonksiyonlu Direksiyon-FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı Ayna - Elektronik Direksiyon Ayarı - Elektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Radyo Cd - RCSpor Koltuklar-SK Torpido Gözü Soğutması - TGSYol Bilgisayari - YBYükseklik Ayarlı S.KoltuğuYükseklik Ayarlı Y.Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","115 Hp","Garantisiz","Önden Çekiş","Şahintaş","Gaziantep","556.000₺"
"1669745676-921","https://dod.com.tr/arac-arama?page=81","Volkswagen Golf","https://dod.com.tr/arac-detay/Volkswagen/Golf/213420295","Volkswagen","Golf","Tungsten Gri","198 Km/h","250","4","50","4.1","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park Ikazi - PS Elekt. Çekiş Kontrol Sistemi -Elektronik Fren Basinç DagilimElektronik Stabilite Programı Fren Asistanı-BAS Lastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı-SFÖn ve Arka Tavan Hava YastıklaÖn Yan hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK8 Hoparlör-8HAlüminyum Alaşım Jant -AJArka Kol Dayama - KDÇok fonksiyonlu Direksiyon-FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı Ayna - Elektronik Direksiyon Ayarı - Elektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Radyo Cd - RCSpor Koltuklar-SK Torpido Gözü Soğutması - TGSYol Bilgisayari - YBYükseklik Ayarlı S.KoltuğuYükseklik Ayarlı Y.Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","115 Hp","Garantisiz","Önden Çekiş","Doğuş Oto Ankara","Ankara","575.000₺"
