web-scraper-order,web-scraper-start-url,linkgetter,linkgetter-href,MarkaAdi,Modeladi,Renk,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Model_Yili,Kasa_Tipi,Konfor Group,Rehin_Durum,Haciz_Durum,Tsi(Turbo Supercharger Injection),Yakit,Sanziman,Max_Güc,Garanti,Aktarma,Konum_detay,Konum_sehir,Fiyat
"1669728823-109","https://dod.com.tr/arac-arama?page=145","Ford Fiesta","https://dod.com.tr/arac-detay/Ford/Fiesta/220601460","Ford","Fiesta","Gümüş Gri","167 Km/h","124","4","45","8.6","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıImmobilizer - IMM Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2004","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Radyo Teyp - RT Yükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.4 Lt","Benzin","Manuel","80 Hp","Garantisiz","Önden Çekiş","Eskihisar","Ankara","210.000₺"
"1669728830-110","https://dod.com.tr/arac-arama?page=145","Peugeot 206","https://dod.com.tr/arac-detay/Peugeot/206/220100443","Peugeot","206","Açık Sarı","172 Km/h","120","4","50","8.4","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basinç DagilimImmobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı-SFÖn ve Arka Tavan Hava YastıklaÖn Yan hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2005","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör-6HDireksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı Ayna - Hidrolik Direksiyon - HD Manuel Klima - AC Radyo Teyp - RT Yükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.4 Lt","Benzin","Manuel","75 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","170.000₺"
"1669728838-111","https://dod.com.tr/arac-arama?page=145","Hyundai Getz","https://dod.com.tr/arac-detay/Hyundai/Getz/223800258","HYUNDAİ","Getz","Mavi","166 Km/h","119","4","45","null","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıImmobilizer - IMM Merkezi Kilit - MKÖn Sis Farı - SFSürücü Hava YastığıYolcu Hava Yastığı""}]","2006","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Spoiler - S Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YADYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.3 Lt","LPG","Manuel","70 Hp","Garantisiz","Önden Çekiş","Aykan Kayseri","Kayseri","285.000₺"
"1669728848-112","https://dod.com.tr/arac-arama?page=145","Audi A6","https://dod.com.tr/arac-detay/Audi/A6/223431928","Audi","A6","Mavi","240 Km/h","450","6","80","11.9","24","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM İç Denetimli Alarm - ALKaranlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Wagon","[{""Konfor Group"":""Konfor Aksesuarları10 Hoparlör - 10H2 Bölgeli Otomatik Klima - 2BKAlüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Deri Direksiyon - DDi Deri Vites Topuzu - DVTElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD MP3lü CD ÇalarPort Bagaj - PB Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","3 Lt","Dizel","Otomatik","225 Hp","Garantisiz","4x4","Tamaş","İstanbul","680.000₺"
"1669728856-113","https://dod.com.tr/arac-arama?page=145","Ford Fusion","https://dod.com.tr/arac-detay/Ford/Fusion/225500725","Ford","Fusion","Aytozu Gri","176 Km/h","146","4","45","10.3","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıImmobilizer - IMM Ön Sis Farı - SFSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RCYol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Benzin","Otomatik","100 Hp","Garantisiz","Önden Çekiş","Erçal","Samsun","286.750₺"
"1669728871-114","https://dod.com.tr/arac-arama?page=144","Honda City","https://dod.com.tr/arac-detay/Honda/City/222000226","Honda","City","Gri","175 Km/h","119","4","42","7.2","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Sedan","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RC""}]","Yok*","Yok*","1.3 Lt","Benzin","Manuel","83 Hp","Garantisiz","Önden Çekiş","Batı Denizli","Denizli","282.900₺"
"1669728879-115","https://dod.com.tr/arac-arama?page=144","Mazda Mazda3","https://dod.com.tr/arac-detay/Mazda/Mazda3/225500716","Mazda","Mazda3","Titanyum Gri","185 Km/h","145","4","55","9.3","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Sedan","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Açılır Tavan  - EATElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Benzin","Manuel","105 Hp","Garantisiz","Önden Çekiş","Erçal","Samsun","265.950₺"
"1669728887-116","https://dod.com.tr/arac-arama?page=144","Volkswagen Touareg","https://dod.com.tr/arac-detay/Volkswagen/Touareg/220900123","Volkswagen","Touareg","Galapagos Antrasit","209 Km/h","Yok*","6","100","14.4","24","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Bi-Xenon Far - BXEN Eğim İniş Kontrolü-HDCElekt. Çekiş Kontrol SistemiElektronik Diferansiyel Kilidi-EDLElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Far Yıkama - FY Fren Asistanı - BAS Immobilizer - IMM İç Denetimli Alarm - ALKaranlık Sensörlü Farlar - KSFÖn Park İkazı - ÖPİ Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUyarlanabilir Far Sistemi - UFUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Arazi aracı","[{""Konfor Group"":""Konfor Aksesuarları10 Hoparlör - 10H2 Bölgeli Otomatik Klima - 2BK4'lü Havalı Süsp. - 4HS Adaptif Süspansiyon SistemiAhsap Kaplama Konsol- AKK Alüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Döşeme - DDDeri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Açılır Tavan  - EATElektrikli açilir sunroofElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHafızalı Sürücü KoltuğuHafızalı Yolcu KoltuğuHız Sabitleyici - CC Hidrolik Direksiyon - HD Isıtmalı Arka KoltukIsıtmalı Yolcu KoltuğuKayak Bölmesi - KBMobil Telefon Ön Hazırlığı - MOtomatik Yükseklik Ayarlayıcı Port Bagaj - PB Pusula - P Radyo Cd - RCSüspansiyon Yükseklik Ayarı -HTorpido Gözü Soğutması - TGSYol Bilgisayarı - YB""}]","Yok*","Yok*","3 Lt","Dizel","Otomatik","225 Hp","Garantisiz","4x4","Lena Aydın","Aydın","790.000₺"
"1669728895-117","https://dod.com.tr/arac-arama?page=144","Citroen C4 Picasso","https://dod.com.tr/arac-detay/Citroen/C4%20Picasso/220100638","Citroen","C4 PICASSO","Gece Siyahı","180 Km/h","260","4","60","6.8","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıArka Park İkazı - PS Bi-Xenon Far - BXEN Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Far Yıkama - FY Fren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUyarlanabilir Far Sistemi - UFUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2008","MPV","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK4'lü Havalı Süsp. - 4HS 6 Hoparlör - 6HAlüminyum Alaşım Jant - AJCD Çalar 5'li - CD5 Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD Manuel Arka Perde - MAP Manuel Yan Perdeler - MYPMP3lü CD ÇalarPanoramik Cam Tavan - PCTSoğutmalı Orta Konsol - SOK Spoiler - S Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","110 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","311.000₺"
"1669728903-118","https://dod.com.tr/arac-arama?page=144","Toyota Auris","https://dod.com.tr/arac-detay/Toyota/Auris/220100997","Toyota","Auris","Gümüş Gri","190 Km/h","157","4","55","8.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Anahtarsız Sistem - KG Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıYolcu Hava Yastığı""}]","2008","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK6 Hoparlör - 6HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD MP3lü CD ÇalarYol Bilgisayarı - YB""}]","Yok*","Yok*","1.6 Lt","Benzin","Otomatik","124 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","345.000₺"
"1669728911-119","https://dod.com.tr/arac-arama?page=144","Volkswagen Jetta","https://dod.com.tr/arac-detay/Volkswagen/Jetta/223429779","Volkswagen","Jetta","Gri","187 Km/h","250","4","55","7.4","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıFren Asistanı - BAS Ön ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2008","Sedan","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD MP3lü CD ÇalarTorpido Gözü Soğutması - TGSYol Bilgisayarı - YB""}]","Yok*","Yok*","1.9 Lt","Dizel","Otomatik","105 Hp","Garantisiz","Önden Çekiş","Tamaş","İstanbul","290.000₺"
"1669728919-120","https://dod.com.tr/arac-arama?page=144","Bmw X3","https://dod.com.tr/arac-detay/Bmw/X3/220601517","BMW","X3","Siyah","Yok*","Yok*","4","68","null","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Eğim İniş Kontrolü-HDCElekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2009","Arazi aracı","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK6 Hoparlör - 6HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli Sürücü KoltuğuElektrikli ve Isıtmalı AynaElektrikli Yolcu KoltuğuElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD Port Bagaj - PB Spoiler - S Spor Koltuklar - SK Yol Bilgisayarı - YB""}]","Yok*","Yok*","2 Lt","Dizel","Otomatik","190 Hp","Garantisiz","4x4","Eskihisar","Ankara","652.500₺"
"1669728927-121","https://dod.com.tr/arac-arama?page=144","Honda Civic","https://dod.com.tr/arac-detay/Honda/Civic/220601416","Honda","Civic","Gümüş Gri","177 Km/h","127","4","50","6.9","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Alarm - AL Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2009","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD Manuel Klima - AC MP3lü CD ÇalarSpoiler - S Torpido Gözü Soğutması - TGSYol Bilgisayarı - YB""}]","Yok*","Yok*","1.3 Lt","Benzin","Otomatik","100 Hp","Garantisiz","Önden Çekiş","Eskihisar","Ankara","340.000₺"
"1669728934-122","https://dod.com.tr/arac-arama?page=144","Hyundai Getz","https://dod.com.tr/arac-detay/Hyundai/Getz/223800237","HYUNDAİ","Getz","Mavi","173 Km/h","Yok*","4","45","5.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıImmobilizer - IMM Merkezi Kilit - MKSürücü Hava Yastığı""}]","2009","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HElektrikli Ön Camlar - 2OECElektronik Direksiyon AyarıHidrolik Direksiyon - HD Manuel Klima - AC MP3lü CD ÇalarSpoiler - S""}]","Yok*","Yok*","1.5 Lt","Dizel","Manuel","88 Hp","Garantisiz","Önden Çekiş","Aykan Kayseri","Kayseri","245.000₺"
"1669728942-123","https://dod.com.tr/arac-arama?page=144","Hyundai Accent","https://dod.com.tr/arac-detay/Hyundai/Accent/220101327","HYUNDAİ","Accent","Bordo","168 Km/h","125","4","45","9.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıAlarm - AL Immobilizer - IMM Ön Sis Farı - SFSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2009","Sedan","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC""}]","Yok*","Yok*","1.4 Lt","Benzin","Otomatik","97 Hp","Garantisiz","Önden Çekiş","Hasan Kavi - Adana","Adana","255.000₺"
"1669728951-124","https://dod.com.tr/arac-arama?page=144","Renault Clio","https://dod.com.tr/arac-detay/Renault/Clio/222000222","Renault","Clio","Platin Gri","163 Km/h","108","4","55","7.1","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıElektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2009","Hatchback","[{""Konfor Group"":""Konfor AksesuarlarıAlüminyum Alaşım Jant - AJDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD Manuel Klima - AC MP3lü CD ÇalarYol Bilgisayarı - YB""}]","Yok*","Yok*","1.1 Lt","Benzin","Otomatik","80 Hp","Garantisiz","Önden Çekiş","Batı Denizli","Denizli","279.900₺"
"1669728958-125","https://dod.com.tr/arac-arama?page=144","Audi A3","https://dod.com.tr/arac-detay/Audi/A3/222700347","Audi","A3","Siyah","185 Km/h","148","4","55","9.5","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıFren Asistanı - BAS İç Denetimli Alarm - ALKaranlık Sensörlü Farlar - KSFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2010","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK8 Hoparlör - 8HElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD MP3lü CD ÇalarYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.6 Lt","Benzin","Manuel","102 Hp","Garantisiz","Önden Çekiş","Acarsan Gaziantep","Gaziantep","385.000₺"
"1669728974-126","https://dod.com.tr/arac-arama?page=143","Fiat Punto","https://dod.com.tr/arac-detay/Fiat/Punto/222000224","Fiat","Grande Punto","Siyah","165 Km/h","Yok*","4","45","7.5","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıImmobilizer - IMM Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2010","Hatchback","[{""Konfor Group"":""Konfor AksesuarlarıDireksiyondan K. Müzik SistemiElektrikli Ayna - EAElektrikli Ön Camlar - 2OECElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RCYol Bilgisayarı - YBYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.4 Lt","Benzin","Manuel","77 Hp","Garantisiz","Önden Çekiş","Batı Denizli","Denizli","259.900₺"
"1669728983-127","https://dod.com.tr/arac-arama?page=143","Nissan Micra","https://dod.com.tr/arac-detay/Nissan/Micra/223431398","Nissan","Micra","Kırmızı","145 Km/h","110","4","46","8.2","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2010","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Mobil Telefon Ön Hazırlığı - MRadyo Cd - RCYol Bilgisayarı - YBYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.2 Lt","Benzin","Otomatik","80 Hp","Garantisiz","Önden Çekiş","Tamaş","İstanbul","305.000₺"
"1669728990-128","https://dod.com.tr/arac-arama?page=143","Opel Astra","https://dod.com.tr/arac-detay/Opel/Astra/220601471","Opel","Astra","Beyaz","172 Km/h","200","4","52","6.3","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2010","Sedan","[{""Konfor Group"":""Konfor AksesuarlarıÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHız Sabitleyici - CC Hidrolik Direksiyon - HD Manuel Klima - AC MP3lü CD ÇalarYol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.2 Lt","Dizel","Manuel","90 Hp","Garantisiz","Önden Çekiş","Arca","Ankara","315.000₺"
"1669728998-129","https://dod.com.tr/arac-arama?page=143","Porsche Cayenne","https://dod.com.tr/arac-detay/Porsche/Cayenne/225900246","Porsche","Cayenne","Büyülü Siyah","214 Km/h","550","6","100","11.6","24","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arazi Takviyesi - ATAKEğim İniş Kontrolü-HDCElekt. Çekiş Kontrol SistemiElektronik Diferansiyel Kilidi-EDLElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM İç Denetimli Alarm - ALÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2010","Arazi aracı","[{""Konfor Group"":""Konfor AksesuarlarıAlüminyum Alaşım Jant - AJArka Kol Dayama - KDDeri Direksiyon - DDi Deri Döşeme - DDDeri Vites Topuzu - DVTElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektrikli Sürücü KoltuğuElektrikli Yolcu KoltuğuElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC MP3lü CD ÇalarSpoiler - S Torpido Gözü Soğutması - TGSYol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","3 Lt","Dizel","Otomatik","240 Hp","Garantisiz","4x4","Yüncüler","Tekirdağ","1.275.000₺"
"1669729006-130","https://dod.com.tr/arac-arama?page=143","Suzuki Grand Vitara","https://dod.com.tr/arac-detay/Suzuki/Grand%20Vitara/222000227","SUZUKI","GRAND VITARA","Gümüş Gri","170 Km/h","183","4","66","11.2","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Anahtarsız Sistem - KG Elekt. Çekiş Kontrol SistemiElektronik Diferansiyel Kilidi-EDLElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Far Yıkama - FY Fren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıXenon Far - XEN Yolcu Hava Yastığı""}]","2010","Arazi aracı","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAhşap Kaplama Vites Kolu - CKVAlüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Döşeme - DDDireksiyondan K. Müzik SistemiElektrikli Açılır Tavan  - EATElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHız Sabitleyici - CC Hidrolik Direksiyon - HD Isıtmalı Yolcu KoltuğuManuel Klima - AC MP3lü CD ÇalarPort Bagaj - PB Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YADYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","2 Lt","LPG","Otomatik","140 Hp","Garantisiz","4x4","Batı Denizli","Denizli","474.900₺"
